Model,Strategy,Dimension,Max Length,Recall@50,Recall@100,Recall@200,nDCG@10,nDCG@20,nDCG@50,QPS
Baseline,Dense Only,768,256,0.5697348580910895,0.6625067783749791,0.7397680597272281,0.4330087124788056,0.4630721923754317,0.5156118155503991,41.9
Baseline,Dense Only,512,256,0.5551042526450687,0.6479211999840083,0.7249000768318731,0.42269258891294564,0.4514739712305512,0.50318850396677,68.6
Baseline,Dense Only,256,256,0.5117573618152567,0.6019164637258565,0.6811137869025501,0.39502108249464135,0.42081862632416933,0.46960859344341144,131.59
Baseline,Dense Only,128,256,0.43085675846406785,0.5122187959582675,0.5882582903408892,0.338874398970588,0.3602262519751269,0.40342069887890075,244.61
Baseline,Dense Only,64,256,0.2903646598242443,0.35738022773162614,0.4269556875912582,0.23585193065116544,0.24919178329171865,0.28132173967259466,446.34
Baseline,Dense + BM25,768,256,0.5926363776629863,0.685851611492877,0.7628529255460509,0.4487127857069069,0.48105073011333344,0.5341171882045402,36.39
Baseline,Dense + BM25,512,256,0.5808583276969574,0.6745227986919272,0.7525457746359789,0.4413160989860926,0.47248805600797095,0.5249069095854041,51.92
Baseline,Dense + BM25,256,256,0.5448486947992542,0.6395209211759995,0.7219531217644622,0.423909965082964,0.4514976301762435,0.5006049853551243,81.65
Baseline,Dense + BM25,128,256,0.4745900001103742,0.5663904139088467,0.6598748038710325,0.38644979453457706,0.4069278060361179,0.45002681605046096,111.4
Baseline,Dense + BM25,64,256,0.34406579443788005,0.43109761668947405,0.5574114190601104,0.30662055875307864,0.31527555853935446,0.34864184668718895,180.56
Baseline,Dense + SPLADE,768,256,0.6048570693315689,0.6991091454522934,0.7726910237778251,0.46126134559533644,0.49425717281375087,0.5479014004334645,27.6
Baseline,Dense + SPLADE,512,256,0.595366493088885,0.6908758307979235,0.7644477885577835,0.4564941727690877,0.4884146464028165,0.5411138127182297,38.49
Baseline,Dense + SPLADE,256,256,0.5689179553123521,0.6668941710445111,0.7453963604389994,0.4429803086426774,0.4713958156098519,0.5226025413695232,57.73
Baseline,Dense + SPLADE,128,256,0.5127609860248499,0.6170214279130025,0.7104289381576119,0.41033684757899247,0.4334736130109468,0.4803832069125537,77.19
Baseline,Dense + SPLADE,64,256,0.3986150298941955,0.5341297501660213,0.660043360246776,0.33934236631293196,0.3502886033967606,0.3912506286600657,87.15
Baseline,Dense + BM25 + SPLADE,768,256,0.6179082915973468,0.710089340075364,0.7804894208228454,0.46928773607690877,0.5030167847584994,0.5578563032698355,26.48
Baseline,Dense + BM25 + SPLADE,512,256,0.6109452501262618,0.7043755973919156,0.7744397319676197,0.4635046766822494,0.49720162943582724,0.5518007375506523,36.17
Baseline,Dense + BM25 + SPLADE,256,256,0.5925069240152855,0.6867078926246514,0.7603751272617197,0.4534685996606313,0.4849374413765186,0.5388623577589071,52.23
Baseline,Dense + BM25 + SPLADE,128,256,0.5552975422696004,0.6554395986271745,0.734502660215362,0.42882486318593216,0.45559150910740376,0.5088213518708465,71.06
Baseline,Dense + BM25 + SPLADE,64,256,0.48962410517046684,0.6070220921532102,0.700460150520246,0.3705566256925774,0.38955001314050125,0.4484130477205974,80.99
